NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,mol_id,smiles,valid_smiles
0,0,0,0,0,0,0,0,0,0,0,0,TOX20800,CC(O)(P(=O)(O)O)P(=O)(O)O,True
0,0,0,0,0,0,0,0,0,0,0,0,TOX6619,O=S(=O)(Cl)c1ccccc1,True
0,0,0,0,0,0,0,0,0,0,0,0,TOX6612,CC(C)COC(=O)C(C)C,True
0,0,0,0,0,0,0,0,0,0,0,0,TOX6615,C=C(C)C(=O)OCCOC(=O)C(=C)C,True
0,0,0,0,0,0,1,0,0,0,0,0,TOX14833,O=C([O-])Cc1cccc2ccccc12,True
0,0,0,0,0,0,0,0,0,0,0,0,TOX1883,C#CCO,True
0,0,0,0,0,0,0,0,0,0,0,0,TOX1885,CC(O)CC(C)(C)O,True
0,0,0,0,0,0,0,0,0,0,0,0,TOX1886,CC(C)(C)CC(C)(C)N,True
0,0,0,0,0,0,0,0,0,0,0,0,TOX1889,CC(=O)CC(C)C,True
0,0,0,0,0,0,0,0,0,0,0,0,TOX1888,CCCC(C)=O,True
0,0,1,0,0,0,0,0,0,0,0,0,TOX4465,Nc1nc2ccccc2[nH]1,True
0,0,0,0,0,0,0,0,0,0,0,0,TOX161,c1ccc(-c2ccccc2)cc1,True
0,0,0,0,0,0,0,0,0,1,0,0,TOX22187,CCCCNC(=S)NCCCC,True
0,0,0,0,0,0,0,0,0,0,0,0,TOX22188,CCCCNC(=O)NCCCC,True
0,0,0,0,0,0,0,0,0,0,0,0,TOX22189,CC(C)N(c1ccccc1)C(C)C,True
0,0,0,0,0,0,0,0,0,0,0,0,TOX7876,CCc1cccc(C)c1,True
0,0,0,0,0,0,0,1,0,0,0,0,TOX7870,CCCCCCCCCCC=CC1CC(=O)OC1=O,True
0,0,0,0,0,0,0,0,0,0,0,0,TOX4112,CS(=O)(=O)NC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],True
0,0,0,0,0,0,0,0,0,0,0,0,TOX27698,CC/C=C\CCCCO,True
0,0,0,0,0,0,0,0,0,0,0,0,TOX10138,CC(=O)CCC(C)=O,True
0,0,0,0,0,0,0,0,0,0,0,0,TOX21464,N#CCCNCCC#N,True
0,0,0,0,0,0,0,0,0,0,0,0,TOX27071,Cc1ccccc1CCO,True
0,0,0,0,0,0,0,0,0,0,0,0,TOX27070,Cc1nc(C)c(C)nc1C,True
0,0,0,0,0,0,0,0,0,0,0,0,TOX27072,CC1=CC(O)CC(C)(C)C1,True
0,0,0,0,0,0,0,0,0,0,0,0,TOX27075,Cc1cnc(C)c(C)n1,True
0,0,0,0,0,0,0,0,0,0,0,0,TOX19719,O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Ca+2],True
0,0,0,0,0,0,0,0,0,0,0,0,TOX24911,CC(C)CCCCCOC(=O)CCS,True
0,0,0,0,0,0,0,0,0,0,0,0,TOX956,O=[N+]([O-])c1cc([As](=O)(O)O)ccc1O,True
0,0,0,0,0,0,0,0,0,0,0,1,TOX24919,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,True
0,0,0,0,0,0,0,0,0,0,0,0,TOX9733,CC(C)[C@H]1CC[C@H](C)C[C@@H]1O,True
0,0,0,0,0,0,0,0,0,0,0,0,TOX2968,Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O,True
0,0,0,0,0,0,0,0,0,0,0,0,TOX2617,COC(=O)C1=CCCN(C)C1,True
0,0,0,0,0,0,0,0,0,0,0,0,TOX5642,Cc1ccc(C(=O)O)cc1[N+](=O)[O-],True
0,0,0,0,0,0,0,0,0,0,0,0,TOX5641,Cc1cc(C(=O)O)ccc1[N+](=O)[O-],True
0,0,0,0,0,0,0,0,0,0,0,0,TOX27158,CCCCCC(C)O,True
0,0,0,0,0,0,0,0,0,0,0,0,TOX1709,NC(=O)c1ccccc1,True
0,0,0,0,0,0,0,0,0,0,0,0,TOX9559,O=C1C(N(CO)C(=O)NCO)N(CO)C(=O)N1CO,True
0,0,0,0,0,0,0,0,0,0,0,0,TOX25753,CC(C)NC[C@@H](O)COc1ccc(CC(N)=O)cc1,True
0,0,0,0,0,0,0,0,0,0,0,0,TOX14836,[I-].[K+],True
0,0,0,0,0,0,0,0,0,0,0,0,TOX4786,O=C(C=Cc1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](O)[C@H]1O,True
0,0,0,0,0,0,0,1,0,0,0,0,TOX5391,C/C=C/C=C/C=O,True
0,0,0,0,0,1,0,0,0,0,0,0,TOX5395,C[Si](C)(C)N[Si](C)(C)C,True
0,0,0,0,0,0,0,0,0,0,0,0,TOX25533,CCN(CC)CCOC(=O)C(Cc1cccc2ccccc12)CC1CCCO1,True
0,0,0,0,0,0,0,0,0,0,0,0,TOX25530,CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,True
0,0,0,0,0,0,0,0,0,0,0,0,TOX25531,CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,True
0,0,0,0,0,0,0,0,0,0,0,0,TOX25536,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,True
0,0,0,0,0,0,0,0,0,0,0,0,TOX3568,CN(C)[C@@H]1C(O)=C(C(=O)NCN2CCCC2)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)C3C[C@@H]12,True
0,0,0,0,0,0,0,0,0,0,0,0,TOX7019,CCCCCCCCCCCCCC(=O)OC,True
0,0,0,0,0,0,0,0,0,0,0,0,TOX7014,CCCCCCC(C)O,True
0,0,0,0,0,0,0,0,0,0,0,0,TOX22494,CCC[Si](OC)(OC)OC,True
0,0,0,0,0,0,0,0,0,0,0,0,TOX27088,CC1=C(CC=O)C(C)(C)CCC1,True
0,0,0,0,0,0,0,0,0,0,0,0,TOX4931,CCCCCNCCCCC,True
0,0,0,0,1,0,0,0,0,0,0,0,TOX4284,COCC(C)O,True
0,0,0,0,1,0,0,0,0,0,1,0,TOX4937,c1ccc2c(c1)Oc1ccccc1S2,True
