smiles,MolWt,LogP,HBD,HBA,QED,Lipinski_Pass,Toxicity_Score
CC(O)(P(=O)(O)O)P(=O)(O)O,206.027,-0.9922000000000002,5,3,0.36558296000069435,True,0.0
O=S(=O)(Cl)c1ccccc1,176.62400000000002,1.6141,0,2,0.6097236773026035,True,0.0
CC(C)COC(=O)C(C)C,144.21399999999997,1.8416000000000001,0,2,0.5648358693923418,True,0.0
C=C(C)C(=O)OCCOC(=O)C(=C)C,198.21799999999996,1.2249999999999999,0,4,0.37846712598231386,True,0.0
O=C([O-])Cc1cccc2ccccc12,185.202,1.1321999999999994,0,2,0.7032730051539176,True,0.08333333333333333
C#CCO,56.064,-0.3881,1,1,0.37468964677801264,True,0.0
CC(O)CC(C)(C)O,118.17599999999999,0.5282,2,2,0.5548951576761242,True,0.0
CC(C)(C)CC(C)(C)N,129.24699999999999,2.1599000000000004,1,1,0.5765659976635511,True,0.0
CC(=O)CC(C)C,100.16099999999999,1.6215,0,1,0.5150193170931499,True,0.0
CCCC(C)=O,86.13399999999999,1.3755,0,1,0.4957688321065222,True,0.0
Nc1nc2ccccc2[nH]1,133.15399999999997,1.1451,2,2,0.5658999712435825,True,0.08333333333333333
c1ccc(-c2ccccc2)cc1,154.21199999999996,3.353600000000001,0,0,0.5905018880213778,True,0.0
CCCCNC(=S)NCCCC,188.33999999999995,2.0507,2,1,0.4926329011461622,True,0.08333333333333333
CCCCNC(=O)NCCCC,172.27199999999993,1.8858,2,1,0.5900938567544521,True,0.0
CC(C)N(c1ccccc1)C(C)C,177.29099999999997,3.309800000000002,0,1,0.6843486663149844,True,0.0
CCc1cccc(C)c1,120.19499999999996,2.5574200000000005,0,0,0.5339790665494062,True,0.0
CCCCCCCCCCC=CC1CC(=O)OC1=O,266.381,4.163100000000004,0,3,0.25791745456992976,True,0.08333333333333333
CS(=O)(=O)NC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],438.76700000000005,3.748700000000002,1,6,0.5611421630388057,True,0.0
CC/C=C\CCCCO,128.215,2.1152,1,1,0.44388357166582876,True,0.0
CC(=O)CCC(C)=O,114.14399999999999,0.9446,0,2,0.5469153902097886,True,0.0
N#CCCNCCC#N,123.15899999999999,0.40336,1,3,0.5503756038673703,True,0.0
Cc1ccccc1CCO,136.19400000000002,1.52982,1,1,0.653334045584044,True,0.0
Cc1nc(C)c(C)nc1C,136.19799999999998,1.7102799999999998,0,2,0.5422770005695131,True,0.0
CC1=CC(O)CC(C)(C)C1,140.226,2.1136,1,1,0.5108533240702168,True,0.0
Cc1cnc(C)c(C)n1,122.17099999999999,1.4018599999999999,0,2,0.5194976140265337,True,0.0
O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Ca+2],164.086,-0.8590000000000002,0,6,0.259584284389671,True,0.0
CC(C)CCCCCOC(=O)CCS,218.362,3.0659000000000023,1,3,0.3848383939286176,True,0.0
O=[N+]([O-])c1cc([As](=O)(O)O)ccc1O,263.037,-1.1386000000000003,3,4,0.35210117154039805,True,0.0
CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,398.5680000000001,1.9720999999999997,3,9,0.2501080278690377,True,0.08333333333333333
CC(C)[C@H]1CC[C@H](C)C[C@@H]1O,156.269,2.439500000000001,1,1,0.6179494584335713,True,0.0
Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O,266.25699999999995,-1.1933999999999994,0,8,0.6822997553866551,True,0.0
COC(=O)C1=CCCN(C)C1,155.197,0.4213,0,3,0.5139158149125916,True,0.0
Cc1ccc(C(=O)O)cc1[N+](=O)[O-],181.147,1.60142,1,3,0.5545811672294877,True,0.0
Cc1cc(C(=O)O)ccc1[N+](=O)[O-],181.14699999999996,1.60142,1,3,0.5545811672294876,True,0.0
CCCCCC(C)O,116.20399999999998,1.9475000000000002,1,1,0.556461802116396,True,0.0
NC(=O)c1ccccc1,121.13899999999995,0.7855000000000001,1,1,0.5859367170668043,True,0.0
O=C1C(N(CO)C(=O)NCO)N(CO)C(=O)N1CO,278.221,-3.6124999999999985,5,7,0.2568014736814685,True,0.0
CC(C)NC[C@@H](O)COc1ccc(CC(N)=O)cc1,266.34099999999995,0.45210000000000006,3,4,0.6376739781676249,True,0.0
[I-].[K+],166.002,-5.992,0,0,0.24806899046579,True,0.0
O=C(C=Cc1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](O)[C@H]1O,354.31100000000004,-0.6459000000000001,6,8,0.23408527976084326,False,0.0
C/C=C/C=C/C=O,96.12899999999999,1.3176,0,1,0.2876307698721535,True,0.08333333333333333
C[Si](C)(C)N[Si](C)(C)C,161.397,2.2458,1,1,0.6126262344720783,True,0.08333333333333333
CCN(CC)CCOC(=O)C(Cc1cccc2ccccc12)CC1CCCO1,383.5320000000002,4.452600000000004,0,4,0.5682411406599145,True,0.0
CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,324.44900000000007,0.612,2,6,0.8471269771691101,True,0.0
CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,383.5170000000001,0.08690000000000164,2,7,0.6441091760572242,True,0.0
CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,339.4830000000001,3.361900000000002,1,3,0.8020711980677477,True,0.0
CN(C)[C@@H]1C(O)=C(C(=O)NCN2CCCC2)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)C3C[C@@H]12,527.5740000000002,0.46980000000000227,6,10,0.3025327115135259,False,0.0
CCCCCCCCCCCCCC(=O)OC,242.40299999999993,4.8605000000000045,0,2,0.3606575035504831,True,0.0
CCCCCCC(C)O,130.231,2.3376000000000006,1,1,0.5662247345927632,True,0.0
CCC[Si](OC)(OC)OC,164.27699999999996,1.2745,0,3,0.5727649275713802,True,0.0
CC1=C(CC=O)C(C)(C)CCC1,166.26399999999995,3.102000000000002,0,1,0.45481033628034695,True,0.0
CCCCCNCCCCC,157.301,2.9564000000000012,1,1,0.5341051569369422,True,0.0
COCC(C)O,90.122,0.013600000000000112,1,2,0.5173841339875317,True,0.08333333333333333
c1ccc2c(c1)Oc1ccccc1S2,200.262,3.943500000000001,0,2,0.543195199210991,True,0.16666666666666666
CC1CN1,57.096,-0.021899999999999975,1,1,0.3875899677614259,True,0.0
CCc1cnc(C2=NC(C)(C(C)C)C(=O)N2)c(C(=O)O)c1,289.335,1.6333000000000002,2,4,0.8809371073535404,True,0.0
Clc1cnc(Oc2ccc(Oc3ncc(Cl)cc3Cl)cc2)c(Cl)c1,402.0640000000001,6.674800000000002,0,4,0.4888321000837205,False,0.08333333333333333
ClCOCCl,114.959,1.3956,0,1,0.4938446542498575,True,0.08333333333333333
CC(O)CNCC(C)O,133.191,-0.6623999999999999,3,3,0.47686074785976945,True,0.0
CCCCC(CC)CCC(CC(C)C)OS(=O)(=O)[O-],293.44900000000007,3.874500000000003,0,4,0.42815178603278053,True,0.0
O=C(O)CCCCCCCCC(=O)O,202.24999999999997,2.2763999999999998,2,2,0.5622977280227048,True,0.0
CCCCCCCC(=O)OC,158.24099999999999,2.5199000000000007,0,2,0.4383150695699537,True,0.0
CC(O)COCC(C)O,134.175,-0.2354,2,3,0.5578201447805288,True,0.0
Cc1ncc[nH]1,82.106,0.7181199999999999,1,1,0.49044689078380066,True,0.08333333333333333
CO[Si](C)(C)OC,120.22399999999999,0.9809999999999999,0,2,0.5057059255244127,True,0.0
O=C(O)Cc1c(Cl)ccc(Cl)c1Cl,239.485,3.273900000000001,1,1,0.8043459743561524,True,0.08333333333333333
Cc1ccc(C(C)(C)C)cc1,148.24900000000002,3.2925200000000014,0,0,0.5293048449815113,True,0.0
BrCBr,173.83499999999998,1.7337,0,0,0.49009217871796995,True,0.0
Nc1cc(Cl)cc(Cl)c1,162.019,2.5756000000000006,1,1,0.5825188519698148,True,0.0
O.O.O.O.O.O.O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Mg+2],256.40299999999996,-5.807199999999997,0,6,0.23002965283651663,True,0.0
CCCCCCCCCOS(=O)(=O)[O-],223.314,2.2138,0,4,0.34128359534053027,True,0.08333333333333333
O=Cc1ccc(C(=O)O)cc1,150.13299999999998,1.1973,1,2,0.6441438021658347,True,0.08333333333333333
CCC(Cl)CCl,127.014,2.2426000000000004,0,0,0.49869677832286713,True,0.0
O=C1CCCN1,85.10600000000001,-0.10360000000000008,1,1,0.4368355272348544,True,0.08333333333333333
N#CC1(N=NC2(C#N)CCCCC2)CCCCC1,244.34199999999987,3.891560000000003,0,4,0.6909993261364882,True,0.0
COc1cccc(Br)c1,187.036,2.457700000000001,0,1,0.655546971817452,True,0.0
CCCCCCCCNC,143.274,2.566300000000001,1,1,0.5400384289975072,True,0.0
Cc1cc(OC(=O)N(C)C)nn1C(=O)N(C)C,240.263,0.78162,0,5,0.7271671448939994,True,0.0
CC(O)COc1ccccc1,152.19299999999998,1.4462,1,2,0.7098553048910033,True,0.0
O=P1(NCCCl)OCCCN1CCCl,261.08899999999994,1.884,1,2,0.605720669080109,True,0.0
CC=Cc1ccc2c(c1)OCO2,162.18799999999996,2.4484000000000004,0,2,0.6310600907726281,True,0.0
CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,361.37300000000005,1.5439999999999998,1,6,0.8747398264671755,True,0.0
CCN(Cc1ccc(Cl)nc1)/C(=C/[N+](=O)[O-])NC,270.72,1.8518999999999999,1,5,0.4852213984326295,True,0.0
OC[C@]1(O)OC[C@@H](O)[C@H](O)[C@@H]1O,180.156,-3.2197999999999998,5,6,0.29017819335208067,True,0.0
CC(C)C[P+](C)(CC(C)C)CC(C)C,217.35699999999997,4.601800000000004,0,0,0.5702512093812254,True,0.0
C=C1C[C@]23CC[C@@H]4[C@](C)(C(=O)O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)CCC[C@]4(C)[C@@H]2C[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@H]2OC2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]1C3,967.0210000000009,-5.257999999999982,14,23,0.04935480288682246,False,0.0
CCCCC(CC)COC(=O)c1ccc(C(=O)OCC(CC)CCCC)c(C(=O)OCC(CC)CCCC)c1,546.7890000000004,8.806200000000006,0,6,0.11319352304032063,False,0.08333333333333333
O=c1n(CCO)c(=O)n(CCO)c(=O)n1CCO,261.2339999999999,-3.851399999999997,3,9,0.4809270956967134,True,0.08333333333333333
O=C(O)c1ccc(O)cc1O,154.12099999999998,0.7959999999999998,3,3,0.5585391396988667,True,0.0
CC1=CC(C)(C)Nc2ccccc21,173.25900000000001,3.2940000000000014,1,1,0.6344286770888338,True,0.08333333333333333
CC(C)CNCC(C)C,129.24699999999996,1.888,1,1,0.6109187066585087,True,0.0
NC(=O)OCC(COC(N)=O)c1ccccc1,238.24300000000002,0.9607999999999993,2,4,0.796471019540729,True,0.0
COC(=O)c1ccc(C)cc1C1=NC(=O)C(C)(C(C)C)N1,288.347,2.07272,1,4,0.8646106875594433,True,0.0
NC(=S)NNC(N)=S,150.232,-1.4322,4,2,0.25041488662752326,True,0.0
O=C(Oc1ccccc1)Oc1ccccc1,214.21999999999997,3.264400000000002,0,3,0.5681728368898479,True,0.0
CN(C)CCN(Cc1cccs1)c1ccccn1,261.394,2.7113000000000005,0,4,0.7967911857797698,True,0.0
CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@](C)(O)CC[C@]4(C)[C@H]3CC[C@]12C,332.5280000000001,4.985300000000005,1,2,0.7346190222392026,True,0.0
O=C(O)Cc1ccc(CCNS(=O)(=O)c2ccc(Cl)cc2)cc1,353.827,2.4881,2,3,0.8006282967606466,True,0.08333333333333333
NC(=O)c1cn(Cc2c(F)cccc2F)nn1,238.197,0.7035000000000001,1,4,0.8549954528788273,True,0.0
CCn1cc[n+](C)c1C.O=S(=O)([O-])C(F)(F)F,274.26399999999995,0.6923199999999999,0,4,0.4297762114809703,True,0.08333333333333333
CCCCn1cc[n+](C)c1.F[B-](F)(F)F,226.02599999999995,2.412700000000001,0,1,0.4247889266952851,True,0.08333333333333333
CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,369.4870000000002,1.2851000000000006,2,6,0.7023165228263907,True,0.0
CC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,263.281,1.2980999999999998,0,3,0.406834632153965,True,0.0
CNC(=O)/C=C(\C)OP(=O)(OC)OC,223.16499999999996,1.0536999999999999,1,5,0.428135871435528,True,0.0
CC=CC(=O)CC,98.145,1.5416,0,1,0.4786524594024578,True,0.0
CC1OCCC1=O,100.11699999999999,0.36430000000000007,0,2,0.4391505373357416,True,0.0
CC1CCCC(=O)C1=O,126.15499999999999,0.9446,0,2,0.45259704242048265,True,0.0
c1cnc2c(n1)CCCC2,134.182,1.3554,0,2,0.5350027180214145,True,0.0
CCCCc1ccc2cccc(S(=O)(=O)[O-])c2c1,263.33799999999997,3.086500000000002,0,3,0.7963752428985311,True,0.0
NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O,295.72900000000004,-0.0608999999999999,2,5,0.7539227220961291,True,0.0
O=P(Cl)(Cl)Cl,153.332,2.8109,0,1,0.4890749387237623,True,0.0
CN(C)CCOC(c1ccccc1)c1ccccc1,255.36100000000002,3.3542000000000023,0,2,0.784550440095116,True,0.08333333333333333
COC(=O)c1ccc(C)cc1,150.177,1.78162,0,2,0.5702367575745928,True,0.0
CC(=O)C=Cc1ccccc1,146.189,2.2888,0,1,0.5848748858475283,True,0.08333333333333333
Cc1c[nH]c(=S)[nH]c1=O,142.18300000000002,0.74091,2,2,0.5247689157489369,True,0.0
COc1ccc2cc1Oc1cc3c(cc1OC)CC[N+](C)(C)[C@H]3Cc1ccc(cc1)Oc1c(OC)c(OC)cc3c1[C@@H](C2)[N+](C)(C)CC3,652.8319999999999,7.451600000000009,0,6,0.21366035293199462,False,0.0
CC12CCC(CC1)C(C)(C)O2,154.253,2.7441000000000013,0,1,0.5210255264729503,True,0.08333333333333333
C=COCC1CCC(CO)CC1,170.25199999999998,1.9452,1,2,0.6533113241587297,True,0.0
CC(=O)/C=C/C1=C(C)CCCC1(C)C,192.30199999999996,3.6582000000000026,0,1,0.6101503454772369,True,0.0
CC(=O)NC1CCSC1=O,159.20999999999998,0.15460000000000013,1,3,0.5922841974538994,True,0.0
CC(O)CN,75.111,-0.6741000000000001,2,2,0.4337552925789797,True,0.0
C=CCc1ccc(O)c(OC)c1,164.20399999999995,2.1292999999999997,1,2,0.6932796632293876,True,0.0
COC(=O)[C@@H](N)CCCN/C(N)=N/[N+](=O)[O-],233.228,-1.6370999999999976,3,5,0.12443925049253586,True,0.0
C[C@H](N[C@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,348.39900000000017,1.1261000000000003,3,4,0.6499831585979154,True,0.0
CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12,335.4730000000002,2.1975999999999996,1,3,0.8803470485806122,True,0.0
C=C(C)C(=O)OCCNC(C)(C)C,185.26699999999997,1.4938,1,3,0.40952649573225613,True,0.0
NS(=O)(=O)c1ccccc1OC(F)(F)F,241.18999999999994,1.2326000000000001,1,3,0.84618017187424,True,0.0
O=C=NCC1CCCC(CN=C=O)C1,194.23399999999995,1.4644000000000001,0,4,0.5022106867042907,True,0.0
NS(=O)(=O)c1ccc(C(=O)O)cc1,201.20299999999997,0.03219999999999995,2,3,0.7049457019510034,True,0.0
COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,285.391,2.658400000000001,0,4,0.7817668594270732,True,0.08333333333333333
CN(C)C(=O)Oc1ccc[n+](C)c1,181.21499999999997,0.5714999999999999,0,2,0.5934152756520555,True,0.16666666666666666
Cc1ncc(CO)c(CO)c1O,169.18,0.08021999999999985,3,4,0.5858308475922274,True,0.0
CC(C)(CO)CO,104.14899999999999,-0.0028000000000000247,2,2,0.5172764729081333,True,0.08333333333333333
O=S1(=O)CCCC1,120.173,0.19500000000000006,0,2,0.4572038171993307,True,0.0
O=[N+]([O-])C(CO)(CO)CO,151.118,-2.0212,3,5,0.31753895246633906,True,0.08333333333333333
O=[N+]([O-])OCCN(CCO[N+](=O)[O-])CCO[N+](=O)[O-],284.181,-1.0866999999999987,0,10,0.3177834478857366,True,0.0
NC(CO)(CO)CO,121.136,-2.3391999999999995,4,4,0.3368315430776369,True,0.0
COc1cc2c3cc1Oc1cc(ccc1O)C[C@@H]1c4c(cc(OC)c(O)c4Oc4ccc(cc4)C[C@@H]3N(C)CC2)CC[N+]1(C)C,609.7429999999999,6.701000000000008,2,7,0.2449408495712499,False,0.0
O=C(O[C@@H]1C[C@@H]2CC[C@H](C1)[N+]21CCCC1)C(O)(c1ccccc1)c1ccccc1,392.519,3.769700000000003,1,3,0.6364424954881173,True,0.0
COc1cc(C(=O)NC2CCCNC2)cc(OC)c1OC,294.351,1.1941999999999997,2,5,0.8536686564243655,True,0.0
C[N+](C)=CCl,92.549,0.5255999999999998,0,0,0.3029065035054109,True,0.0
CC(=O)c1cccnc1,121.13899999999997,1.2842,0,2,0.5237435952028574,True,0.0
O=CN1CCOCC1,115.132,-0.5250000000000001,0,2,0.43003491265685784,True,0.0
COC(=O)CCC(=O)O,132.115,0.02419999999999972,1,3,0.54978357414886,True,0.0
NCc1cccnc1,108.14399999999998,0.5403,1,2,0.5698981587218371,True,0.0
Cc1cc(O)cc(C)c1Cl,156.61199999999997,2.662440000000001,1,1,0.6125193183423138,True,0.08333333333333333
c1ccc2cnncc2c1,130.15,1.6297999999999997,0,2,0.5412819114011972,True,0.0
O=P(O)(OCc1ccccc1)OCc1ccccc1,278.244,3.520400000000002,1,3,0.8212768719926625,True,0.0
ClCc1ccccc1,126.58599999999996,2.4254000000000007,0,0,0.5073287414395534,True,0.0
OCc1ccccc1,108.13999999999997,1.1789,1,1,0.5723436119287516,True,0.0
CC(=O)OCc1ccccc1,150.177,1.7496999999999998,0,2,0.6001729288122303,True,0.0
COCCc1ccc(OCC(O)CNC(C)C)cc1.COCCc1ccc(OCC(O)CNC(C)C)cc1,534.7380000000004,3.2264000000000017,4,8,0.2313395916767681,False,0.0
C[NH+](C)CCC(c1ccccc1)c1cccc[nH+]1,242.36600000000004,1.1671999999999998,1,0,0.8113441332306502,True,0.08333333333333333
CC(C)=CCC[C@H](C)CCO,156.269,2.751300000000001,1,1,0.6067463726043824,True,0.0
CC(C)CC(O)CC(C)C,144.25799999999995,2.4395000000000007,1,1,0.6422180957890576,True,0.0
C=C(C)C(=O)OCCOP(=O)(O)OCCOC(=O)C(=C)C,322.25000000000006,1.3586,1,7,0.27784442517302715,True,0.0
C=C(C)OC(C)=O,100.11699999999999,1.0831,0,2,0.3638308449474541,True,0.0
Cc1cc(O)cc2c1O[C@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)CC2,402.66300000000024,8.223420000000006,1,2,0.3813468683032614,False,0.0
O=C1CC[C@@H](C(=O)O)N1,129.11499999999998,-0.6504000000000001,2,2,0.49402633760755943,True,0.0
CC1(C)[C@@H](O[C@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]2O)CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H]2C(=O)C=C2[C@@H]3C[C@@](C)(C(=O)O)CC[C@]3(C)CC[C@]21C,821.9339999999997,0.9109000000000056,7,14,0.17598347876549747,False,0.0
O=C1NC(=O)C(=O)C(=O)N1,142.07,-2.0785,2,4,0.3795018952803318,True,0.0
OCCCC1CCCCC1,142.242,2.3392,1,1,0.6409270825217288,True,0.0
O=S(=O)([O-])c1ccc2c(/N=N\c3ccc(S(=O)(=O)[O-])c4ccccc34)c(O)c(S(=O)(=O)[O-])cc2c1,535.5130000000003,2.8263000000000007,1,12,0.2908105907966367,False,0.0
CC(C)OC(=O)c1ccccc1C(=O)OC(C)C,250.29399999999998,2.817000000000001,0,4,0.7709373459394383,True,0.0
CO[C@H]1[C@H]([C@@]2(C)O[C@@H]2CC=C(C)C)[C@]2(CC[C@H]1OC(=O)/C=C/C=C/C=C/C=C/C(=O)O)CO2,458.55100000000016,3.9154000000000027,1,6,0.17419939292949438,True,0.16666666666666666
C1CCC2(CCCCO2)OC1,156.225,2.0837,0,2,0.5343217868072481,True,0.0
C[C@H]1O[C@H](O[C@@H]2[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@H]2O)[C@@H](N)C[C@@H]1NC(=N)C(=O)O,379.36600000000016,-4.328029999999994,9,10,0.16846340091926224,False,0.0
CCCCOCCO,118.17599999999999,0.7953999999999999,1,2,0.540825251834061,True,0.0
CCCN(CCC)C(=O)SCC,189.32399999999998,2.9815000000000014,0,2,0.662395742153617,True,0.0
O=S(=O)([O-])c1cccc2ccccc12,207.23,1.7439000000000002,0,3,0.6691114616025359,True,0.0
N#CCCC#N,80.09,0.81376,0,2,0.43744452216721885,True,0.0
Cc1ncc([N+](=O)[O-])n1CCO,171.15599999999998,0.09201999999999994,1,5,0.5158680082581498,True,0.0
C[N+]1(C)[C@H]2CC[C@@H]1C[C@H](OC(=O)C(CO)c1ccccc1)C2,304.41,2.0755,1,3,0.6841283679821213,True,0.16666666666666666
CC(Cl)(Cl)C(=O)O,142.969,1.2648,1,1,0.5606960201798938,True,0.0
CC(=O)C(Cl)Cl,126.97,1.3791,0,1,0.48593925516848924,True,0.0
Cc1cc(O)c2c(O)c3c(O)cccc3cc2c1,240.258,3.4182200000000016,3,3,0.5275136574320083,True,0.3333333333333333
Cc1ccccc1N1CCN(CCc2nnc3n2CCCC3)CC1,325.46000000000015,2.2875200000000007,0,5,0.8642279309285192,True,0.16666666666666666
CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,365.84200000000004,2.0834,2,4,0.8705249450646535,True,0.0
CCO[Si](C)(CCCOCC1CO1)OCC,248.39499999999992,1.9369,0,4,0.33641496268137283,True,0.0
CCCCOCCOCCOCCO,206.28199999999995,0.8286,1,4,0.5086140579956517,True,0.08333333333333333
CCNC(=O)NCCCOc1cccc(CN2CCCCC2)c1,319.4490000000001,2.7605000000000013,2,3,0.7245331125711157,True,0.0
CC(=O)SCC(CC(=O)c1ccc(C)cc1)C(=O)O,280.345,2.5483200000000004,1,4,0.8107400701744084,True,0.0
CC(C)(C)NC[C@H](O)c1ccc(O)cc1Cl,243.734,2.4671000000000003,3,3,0.7645865566321446,True,0.0
CCCCC/C=C\C/C=C\CCCCCCCC(=O)NC(C)c1ccccc1,383.61999999999995,7.677300000000008,1,1,0.230071244857422,False,0.08333333333333333
CCN(C)C(=O)Oc1cccc([C@H](C)N(C)C)c1,250.34199999999998,2.7597000000000014,0,3,0.8234224757170807,True,0.0
Cc1cccc(C(=O)O)c1[N+](=O)[O-],181.147,1.60142,1,3,0.5545811672294877,True,0.0
CCN(CC)CCOC(=O)C1(c2ccccc2)CCCC1.CCN(CC)CCOC(=O)C1(c2ccccc2)CCCC1.O=S(=O)(O)CCS(=O)(=O)O,769.0360000000003,5.528800000000005,2,10,0.15287819021570792,False,0.0
Clc1ccccn1,113.54699999999998,1.7349999999999997,0,1,0.46725589018140756,True,0.0
CCC(=O)/C=C/C1C(C)=CCCC1(C)C,206.32899999999995,3.904200000000003,0,1,0.5052741459050272,True,0.0
CC1CC(OC(=O)c2ccccc2O)CC(C)(C)C1,262.349,3.7638000000000025,1,3,0.8253037253105497,True,0.08333333333333333
CCCCCCCCCO,144.258,2.7293000000000016,1,1,0.5446193762686498,True,0.0
CCCCCCNCCCCCC,185.35499999999996,3.736600000000003,1,1,0.5112689857081927,True,0.0
ClCCCCl,112.98700000000001,1.8540999999999999,0,0,0.4790954302917468,True,0.0
CCCCCCOC(C)=O,144.21399999999997,2.1298000000000004,0,2,0.4361738106721368,True,0.0
NCCNCCN,103.16900000000001,-1.506599999999999,3,3,0.37910128567036666,True,0.16666666666666666
NC(=O)CCCCC(N)=O,144.174,-0.4826000000000001,2,2,0.5102778049489436,True,0.0
CNC(=O)ON=CC(C)(C)SC,190.26799999999997,1.4698,1,4,0.41630457537595433,True,0.0
NN,32.046,-1.1812,2,2,0.2606589485634476,True,0.08333333333333333
O=C(OCc1ccccc1)C(=O)OCc1ccccc1,270.28399999999993,2.4732000000000003,0,4,0.6323438105472251,True,0.0
CCCCN(CCCC)CCCOC(=O)c1ccc(N)cc1,306.45,3.717900000000002,1,4,0.3844641361744915,True,0.0
