assay,feature,importance
NR-AR,MaxAbsEStateIndex,0.013049201899166345
NR-AR,MaxEStateIndex,0.012821031624762889
NR-AR,MinAbsEStateIndex,0.008326260412303674
NR-AR,MinEStateIndex,0.008722144528888096
NR-AR,qed,0.017778640431143983
NR-AR,SPS,0.010973783510965103
NR-AR,MolWt,0.007906808051066402
NR-AR,HeavyAtomMolWt,0.007463968367430203
NR-AR,ExactMolWt,0.007836888644730778
NR-AR,NumValenceElectrons,0.0047470933426768495
NR-AR,NumRadicalElectrons,0.0
NR-AR,MaxPartialCharge,0.009005527116120135
NR-AR,MinPartialCharge,0.015823507615921068
NR-AR,MaxAbsPartialCharge,0.014097215360685344
NR-AR,MinAbsPartialCharge,0.008495798617008395
NR-AR,FpDensityMorgan1,0.008860411048918396
NR-AR,FpDensityMorgan2,0.010580378255287584
NR-AR,FpDensityMorgan3,0.018800284028858593
NR-AR,BCUT2D_MWHI,0.008464925202642727
NR-AR,BCUT2D_MWLOW,0.02782917905550769
NR-AR,BCUT2D_CHGHI,0.009931270379599203
NR-AR,BCUT2D_CHGLO,0.023447254886952908
NR-AR,BCUT2D_LOGPHI,0.01627565513318773
NR-AR,BCUT2D_LOGPLOW,0.006781940496938141
NR-AR,BCUT2D_MRHI,0.009293048567380741
NR-AR,BCUT2D_MRLOW,0.009441706817529894
NR-AR,AvgIpc,0.007242449482679456
NR-AR,BalabanJ,0.009187634424038667
NR-AR,BertzCT,0.008245799165201809
NR-AR,Chi0,0.0070902988697204745
NR-AR,Chi0n,0.008144612449784103
NR-AR,Chi0v,0.00924507523951048
NR-AR,Chi1,0.009231421050615132
NR-AR,Chi1n,0.010817069035626832
NR-AR,Chi1v,0.007831400788275633
NR-AR,Chi2n,0.009427480781954966
NR-AR,Chi2v,0.00915399383202385
NR-AR,Chi3n,0.011534883699353083
NR-AR,Chi3v,0.010406867505357872
NR-AR,Chi4n,0.013578355595984333
NR-AR,Chi4v,0.009638107110037429
NR-AR,HallKierAlpha,0.00738610606828058
NR-AR,Ipc,0.009519987323152583
NR-AR,Kappa1,0.009197977183444216
NR-AR,Kappa2,0.009389850957734173
NR-AR,Kappa3,0.011593194658031842
NR-AR,LabuteASA,0.00839937452733916
NR-AR,PEOE_VSA1,0.007330825834775623
NR-AR,PEOE_VSA10,0.003606341823608143
NR-AR,PEOE_VSA11,0.008521251638909542
NR-AR,PEOE_VSA12,0.0010712004794509273
NR-AR,PEOE_VSA13,0.0029553886646600234
NR-AR,PEOE_VSA14,0.0026960043828033503
NR-AR,PEOE_VSA2,0.003194038326375782
NR-AR,PEOE_VSA3,0.0028898357198771565
NR-AR,PEOE_VSA4,0.0004487100653825595
NR-AR,PEOE_VSA5,0.000794734299884937
NR-AR,PEOE_VSA6,0.007631064888976343
NR-AR,PEOE_VSA7,0.010238496687799954
NR-AR,PEOE_VSA8,0.007602124196060023
NR-AR,PEOE_VSA9,0.007013152005417952
NR-AR,SMR_VSA1,0.004366285669748136
NR-AR,SMR_VSA10,0.007575960554220845
NR-AR,SMR_VSA2,3.487967010271839e-05
NR-AR,SMR_VSA3,0.002098210175289306
NR-AR,SMR_VSA4,0.007095263840763545
NR-AR,SMR_VSA5,0.007101797511682066
NR-AR,SMR_VSA6,0.005001902288292568
NR-AR,SMR_VSA7,0.007311892473675013
NR-AR,SMR_VSA8,0.0
NR-AR,SMR_VSA9,0.0011104509972332949
NR-AR,SlogP_VSA1,0.005156064555092738
NR-AR,SlogP_VSA10,0.0023071795062554754
NR-AR,SlogP_VSA11,0.0014291721803376038
NR-AR,SlogP_VSA12,0.0022922298536097673
NR-AR,SlogP_VSA2,0.007155293342767353
NR-AR,SlogP_VSA3,0.0037747614295528006
NR-AR,SlogP_VSA4,0.006309150633375205
NR-AR,SlogP_VSA5,0.004808662807194681
